id,Year,Title,Abstract,include_stage2,reason_stage2,include_stage3,reason_stage3,include_stage4,reason_stage4,publication_type,confidence_stage4,include_stage5,reason_stage5,has_comparator,detected_comparator,has_primary_outcomes,detected_outcomes,confidence_stage5
J534,2019,Interventions to manage use of the emergency and urgent care system by people from vulnerable groups: a mapping review,"<b>BACKGROUND</b>: The NHS currently faces increasing demands on accident and emergency departments. Concern has been expressed regarding whether the needs of vulnerable groups are being handled appropriately or whether alternative methods of service delivery may provide more appropriate emergency and urgent care services for particular groups.
<b>OBJECTIVE</b>: Our objective was to identify what interventions exist to manage use of the emergency and urgent care system by people from a prespecified list of vulnerable groups. We aimed to describe the characteristics of these interventions and examine service delivery outcomes (for patients and the health service) resulting from these interventions.
<b>REVIEW METHODS</b>: We conducted an initial mapping review to assess the quantity and nature of the published research evidence relating to seven vulnerable groups (socioeconomically deprived people and families, migrants, ethnic minority groups, the long-term unemployed/inactive, people with unstable housing situations, people living in rural/isolated areas and people with substance abuse disorders). Databases, including MEDLINE and the Cumulative Index to Nursing and Allied Health Literature, and other sources were searched between 2008 and 2018. Quantitative and qualitative systematic reviews and primary studies of any design were eligible for inclusion. In addition, we searched for UK interventions and initiatives by examining press reports, commissioning plans and casebooks of 'good practice'. We carried out a detailed intervention analysis, using an adapted version of the TIDieR (Template for Intervention Description and Replication) framework for describing interventions, and an analysis of current NHS practice initiatives.
<b>RESULTS</b>: We identified nine different types of interventions: care navigators [three studies - moderate GRADE (Grading of Recommendations, Assessment, Development and Evaluations)], care planning (three studies - high), case finding (five studies - moderate), case management (four studies - high), front of accident and emergency general practice/front-door streaming model (one study - low), migrant support programme (one study - low), outreach services and teams (two studies - moderate), rapid access doctor/paramedic/urgent visiting services (one study - low) and urgent care clinics (one systematic review - moderate). Few interventions had been targeted at vulnerable populations; instead, they represented general population interventions or were targeted at frequent attenders (who may or may not be from vulnerable groups). Interventions supported by robust evidence (care navigators, care planning, case finding, case management, outreach services and teams, and urgent care clinics) demonstrated an effect on the general population, rather than specific population effects. Many programmes mixed intervention components (e.g. case finding, case management and care navigators), making it difficult to isolate the effect of any single component. Promising UK initiatives (front of accident and emergency general practice/front-door streaming model, migrant support programmes and rapid access doctor/paramedic/urgent visiting services) lacked rigorous evaluation. Evaluation should therefore focus on the clinical effectiveness and cost-effectiveness of these initiatives.
<b>CONCLUSIONS</b>: The review identified a limited number of intervention types that may be useful in addressing the needs of specific vulnerable populations, with little evidence specifically relating to these groups. The evidence highlights that vulnerable populations encompass different subgroups with potentially differing needs, and also that interventions seem particularly context sensitive. This indicates a need for a greater understanding of potential drivers for varying groups in specific localities.
<b>LIMITATIONS</b>: Resources did not allow exhaustive identification of all UK initiatives; the examples cited are indicative.
<b>FUTURE WORK</b>: Research is required to examine how specific vulnerable populations differentially benefit from specific types of alternative service provision. Further exploration, using primary mixed-methods data and potentially realist evaluation, is required to explore what works for whom under what circumstances. Rigorous evaluation of UK initiatives is required, including a specific need for economic evaluations and for studies that incorporate effects on the wider emergency and urgent care system.
<b>FUNDING</b>: The National Institute for Health Research Health Services and Delivery Research programme.",TRUE,Study references NHS and UK initiatives.,TRUE,Study involves NHS emergency and urgent care interventions.,TRUE,Peer-reviewed mapping review article.,Peer-reviewed,0.9,FALSE,Mapping review lacks explicit comparator and primary outcomes,FALSE,Unknown,FALSE,"['clinical', 'cost']",0.7
J550,2019,Characteristics of successful interventions to reduce turnover and increase retention of early career nurses: A systematic review,"BACKGROUND: Nurse shortages have been identified as central to workforce issues in healthcare systems globally and although interventions to increase the nursing workforce have been implemented, nurses leaving their roles, particularly in the first year after qualification, present a significant barrier to building the nurse workforce. OBJECTIVE(S): To evaluate the characteristics of successful interventions to promote retention and reduce turnover of early career nurses. DESIGN: This is a systematic review DATA SOURCES: Online databases including Academic Search Complete, Medline, Health Policy reference Centre, EMBASE, Psychinfo, CINAHL and the Cochran Library were searched to identify relevant publications in English published between 2001 and April 2018. Studies included evaluated an intervention to increase retention or reduce turnover and used turnover or retention figures as a measure. REVIEW METHODS: The review was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) guidelines. Studies were quality-assessed using the Joanna Briggs Institute Critical Appraisal tools for Quasi Experimental and Randomised Controlled Trials. Retention/turnover data were used to guide the comparison between studies and appropriate measures of central tendency and dispersion were calculated and presented, based on the normality of the data. RESULT(S): A total of 11, 656 papers were identified, of which 53 were eligible studies. A wide variety of interventions and components within those interventions were identified to improve nurse retention. Promising interventions appear to be either internship/residency programmes or orientation/transition to practice programmes, lasting between 27-52 weeks, with a teaching and preceptor and mentor component. CONCLUSION(S): Methodological issues impacted on the extent to which conclusions could be drawn, even though a large number of studies were identified. Future research should focus on standardising the reporting of interventions and outcome measures used to evaluate these interventions and carrying out further research with rigorous methodology. Clinical practice areas are recommended to assess their current interventions against the identified criteria to guide development of their effectiveness. Evaluations of cost-effectiveness are considered an important next step to maximise return on investment. Copyright Ã‚Â© 2019 Elsevier Ltd. All rights reserved.",TRUE,"Unclear setting, flagged for review",TRUE,Study focuses on nurse retention in healthcare settings.,TRUE,Peer-reviewed systematic review article.,Peer-reviewed,0.9,FALSE,No explicit comparator detected in abstract,FALSE,Unknown,TRUE,['impact'],0.8
J559,2019,Enhancing efficiency in endoscopy unit using the 'time and motion' model,"Introduction Endoscopy Units throughout the UK are facing unprecedented pressures due to increasing demand with limited capacity. Our aim was to explore strategies to improve our endoscopy unit's efficiency. In order to identify targets for improvement we sought to undertake a 'Time and Motion' study in the endoscopy unit. Methods The study was conducted at Nottingham City Hospital Endoscopy centre between 13th January 2017 to 10th February 2017. Procedures included were gastroscopy, colonoscopy, sigmoidoscopy, bronchoscopy, therapeutic endoscopy and endoscopic ultrasound. From the time a patient reports to the reception to the time discharge was made the patients journey was mapped using the 'time and motion' principle. As part of this study, healthcare professionals and admission staff were asked to record the patient's journey through endoscopy unit accurately and complete templates which were kept with the patient's notes as they moved through the unit. Separate independent observers were then responsible for observing and recording times at which patients entered and exited the procedure room coupled with noting any issues for delays. Results A total of 509 day case patients and 27 inpatient procedures were performed in 4 procedure rooms during the study period over 138 endoscopy lists. The adjusted median delay in starting time was 26 minutes with a peak of 20 minutes. The adjusted median turnaround times (time period between exit of patient from endoscopy room to entry of next patient in to the room) was 13:11 minutes with a peak at 12:30 minutes. The median for overruns (overrunning of lists beyond schedule) was 49:00 minutes. The adjusted median procedure time was 25:00 minutes. 95% of endoscopy lists started late and 80% of the lists finished late. Bottlenecks identified were (1) delays in booking, (2) delays in patient preparation including enema, (3) inpatient transportation from and to wards and (4) timely endoscope availability. These were addressed by changing patient arrival times, additional support workers to support admission and patient preparation, introduction of co-ordinator to monitor lists with empowerment to redeploy staffing, and the role of a 'runner' to liaise between decontamination and the procedure rooms. Conclusion The 'time and motion' study is a useful tool to identify areas for improvement in patient flow and improve efficiency in the Endoscopy unit.",TRUE,"Study conducted at Nottingham City Hospital, UK setting.",TRUE,Study conducted in NHS hospital endoscopy unit.,TRUE,"Research article likely peer-reviewed, not a protocol or commentary.",Peer-reviewed,0.9,FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,['utilization'],0.8
J562,2019,Perspectives of healthcare professionals in England on falls interventions for people with dementia: a qualitative interview study,"Objective To explore the experiences of healthcare professionals working in falls prevention and memory assessment services in providing assessments and interventions for falls risk reduction in people with dementia. Design This is a qualitative study using 19 semistructured interviews. Interviews were analysed through thematic analysis. Setting Community-based falls and memory assessment services in the East Midlands, UK. Participants Nurses (n=10), physiotherapists (n=5), occupational therapists (n=3) and a psychiatrist (n=1). Results Three substantive themes were identified: challenges posed by dementia, adaptations to make falls prevention appropriate for people with dementia and organisational barriers. Patients' poor recall, planning and increased behavioural risk associated with dementia were key problems. Healthcare professionals provided many suggestions on how to overcome these challenges, such as adapting exercise interventions by using more visual aids. Problems associated with cognitive impairment created a need for additional support, for instance longer interventions, and supervision by support workers, to enable effective intervention, yet limited resources meant this was not always achievable. Communication between mental and physical health teams could be ineffective, as services were organised as separate entities, creating a reliance on third parties to be intermediaries. Structural and organisational factors made it difficult to deliver optimal falls prevention for people living with dementia. Conclusions Healthcare professionals experience challenges in providing falls prevention to people with dementia at the individual and organisational levels. Interventions can be adapted for people with dementia, but this requires additional resources and improved integration of services. Future research is needed to develop and test the effectiveness and cost-effectiveness of such services. Copyright Ã‚Â© 2019 Author(s) (or their employer(s)). Re-use permitted under CC BY-NC.",TRUE,"Study conducted in England, UK setting confirmed.",TRUE,Study occurs in community-based falls and memory assessment services.,TRUE,"Qualitative study in a reputable journal, not a protocol or commentary.",Peer-reviewed,0.9,FALSE,No comparison group detected,FALSE,Unknown,FALSE,[],0.9
J565,2019,Development of local alcohol services-experience from an english rural district general hospital,"Introduction Alcohol services are the cornerstone to delivering good alcohol detoxification treatment and outcomes for patients with alcohol dependence. The impact of staff educational program, e-CIWA proforma and inpatient outreach service for community rehabilitation (The Well) is assessed in this two-cycle audit study, leading to improvement in patient care and ongoing local service development at an English rural district general hospital.",TRUE,Study conducted in an English hospital,TRUE,"Study occurs in a district general hospital, an NHS setting.",TRUE,"Appears to be a peer-reviewed article, not a protocol or commentary.",Peer-reviewed,0.9,FALSE,No explicit or implicit comparator detected,FALSE,Unknown,FALSE,[],0.8
J587,2019,Digital and online symptom checkers and assessment services for urgent care to inform a new digital platform: a systematic review,"<b>BACKGROUND</b>: Digital and online symptom checkers and assessment services are used by patients seeking guidance about health problems. NHS England is planning to introduce a digital platform (NHS111 Online) to operate alongside the NHS111 urgent-care telephone service. This review focuses on digital and online symptom checkers for urgent health problems.
<b>OBJECTIVES</b>: This systematic review was commissioned to provide NHS England with an independent review of previous research in this area to inform strategic decision-making and service design.
<b>DATA SOURCES</b>: Focused searches of seven bibliographic databases were performed and supplemented by phrase searching for names of symptom checker systems and citation searches of key included studies. The bibliographic databases searched were MEDLINE, EMBASE, The Cochrane Library, CINAHL (Cumulative Index to Nursing and Allied Health Literature), HMIC (Health Management Information Consortium), Web of Science and the Association of Computing Machinery (ACM) Digital Library, from inception up to April 2018.
<b>REVIEW METHODS</b>: Brief inclusion criteria were (1) population - general population seeking information online or digitally to address an urgent health problem; (2) intervention - any online or digital service designed to assess symptoms, provide health advice and direct patients to appropriate services; and (3) comparator - telephone or face-to-face assessment, comparative performance in tests or simulations (studies with no comparator were included if they reported relevant outcomes). Outcomes of interest included safety, clinical effectiveness, costs or cost-effectiveness, diagnostic and triage accuracy, use of and contacts with health services, compliance with advice received, patient/carer satisfaction, and equity and inclusion. Inclusion was not restricted by study design. Screening studies for inclusion, data extraction and quality assessment were carried out by one reviewer with a sample checked for accuracy and consistency. Final decisions on study inclusion were taken by consensus of the review team. A narrative synthesis of the included studies was performed and structured around the predefined research questions and key outcomes. The overall strength of evidence for each outcome was classified as 'stronger', 'weaker', 'conflicting' or 'insufficient', based on study numbers and design.
<b>RESULTS</b>: In total, 29 publications describing 27 studies were included. Studies were diverse in their design and methodology. The overall strength of the evidence was weak because it was largely based on observational studies and with a substantial component of non-peer-reviewed grey literature. There was little evidence to suggest that symptom checkers are unsafe, but studies evaluating their safety were generally short term and small scale. Diagnostic accuracy was highly variable between different systems but was generally low. Algorithm-based triage tended to be more risk averse than that of health professionals. Inconsistent evidence was found on effects on service use. There was very limited evidence on patients' reactions to online triage advice. The studies showed that younger and more highly educated people are more likely to use these services. Study participants generally expressed high levels of satisfaction with digital and online triage services, albeit in uncontrolled studies.
<b>LIMITATIONS</b>: Findings from symptom checker systems for specific conditions may not be applicable to more general systems and vice versa. Studies of symptom checkers as part of electronic consultation systems in general practice were also included, which is a slightly different setting from a general 'digital 111' service. Most studies were screened by one reviewer.
<b>CONCLUSIONS</b>: Major uncertainties surround the probable impact of digital 111 services on most outcomes. It will be important to monitor and evaluate the services using all available data sources and by commissioning high-quality research.
<b>FUTURE WORK</b>: Priorities for research include comparisons of different systems, rigorous economic evaluations and investigations of patient pathways.
<b>STUDY REGISTRATION</b>: The study is registered as PROSPERO CRD42018093564.
<b>FUNDING</b>: The National Institute for Health Research Health Services and Delivery Research programme.",TRUE,Study is applied to NHS England setting.,TRUE,"Study involves NHS111 Online, an NHS service.",TRUE,Systematic review likely peer-reviewed or grey literature,Unknown,0.8,FALSE,No explicit comparator detected in abstract,FALSE,Unknown,TRUE,"['clinical', 'cost', 'safety']",0.8
J588,2019,Insights for Care: The Healthcare Utilisation and Cost Impact of Managing Type 2 Diabetes-Associated Microvascular Complications,Introduction,TRUE,"Unclear setting, flagged for review",TRUE,Diabetes management likely in NHS or community health settings.,TRUE,"Unclear publication type, flagged for review",Unknown,0.6,FALSE,Abstract lacks explicit comparator and primary outcomes,FALSE,Unknown,FALSE,[],0.6
J592,2019,Innovation as a value in healthcare priority-setting: the UK experience,"All healthcare systems operate with limited resources and therefore need to set priorities for allocating resources across a population. Trade-offs between maximising health and promoting health equity are inevitable in this process. In this paper, we use the UK's National Institute for Health and Care Excellence (NICE) as an example to examine how efforts to promote healthcare innovation in the priority-setting process can complicate these trade-offs. Drawing on NICE guidance, health technology assessment reports and relevant policy documents, we analyse under what conditions NICE recommends the National Health Service fund technologies of an innovative nature"", even when these technologies do not satisfy NICE's cost-effectiveness criteria. Our findings fail to assuage pre-existing concerns that NICE's approach to appraising innovative technologies curtails its goals to promote health and health equity. They also reveal a lack of transparency and accountability regarding NICE's treatment of innovative technologies, as well as raising additional concerns about equity. We conclude that further research needs to evaluate how NICE can promote health and health equity alongside healthcare innovation and draw some general lessons for healthcare priority-setting bodies like NICE.""",TRUE,Study focuses on UK's NICE and NHS.,TRUE,Study involves NHS priority-setting via NICE.,TRUE,Appears to be a peer-reviewed article.,Peer-reviewed,0.9,FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,"['clinical', 'cost']",0.8
J593,2019,Gallstone pancreatitis: Implication of an education programme,"Background: Current British guidelines state that all patients with pancreatitis should undergo definitive management of gall stones on their index admission, unless a clear plan for definitive management within the next two weeks has been made. Aim(s): Our primary aim is to assess compliance with current British Society of Gastroenterology guidelines. Our secondary aim is to assess current practice for choledocholithiasis management. Method(s): A retrospective observation study in a single district general hospital was conducted over a six month period admitted with gallstone pancreatitis. A database was created looking at investigations, definitive management and outcome. Result(s): A total of 60 patient were included, 25 men and 35 women. 7 patients (12%) had a cholecystectomy during their index admission. 2 patients (3%) had a cholecystectomy within two weeks of discharge. Mortality was 3%. Following this project a teaching programme has been introduced amongst the junior, radiology and endoscopy staff and several study education sessions have been started. A hospital BSG steering group to target education and resource allocation has been started and the project is currently under re-audit. Conclusion(s): Gall stone pancreatitis is becoming more common and should be preferably managed on the index admission. Our centre is currently under improvement in order to comply with guidelines.",TRUE,Mentions British guidelines and conducted in a UK hospital.,TRUE,Study conducted in a district general hospital.,TRUE,Peer-reviewed observational study.,Peer-reviewed,0.9,FALSE,No explicit or implicit comparator detected,FALSE,Unknown,TRUE,"['clinical', 'utilization']",0.8
J2830,2021,P-284 Exploratory magnetic resonance imaging histogram biomarkers for response prediction to neoadjuvant treatment in oesophageal/gastro-oesophageal cancer,"Background: The optimal modality and sequencing of neoadjuvant treatment in gastroesophageal cancer is currently being investigated in clinical trials. Early response biomarkers are needed to guide treatment adaptation. This exploratory analysis of a prospective, non-interventional clinical trial (Magnetic resonance IMaging assessment in OeSophageal cAncer) assessed the potential of histogram T2- and diffusion-weighted imaging biomarkers in response prediction to neoadjuvant treatment in oesophageal cancer. Method(s): Patients with locally advanced T2-4N0-3M0 oesophageal/gastroesophageal squamous cell or adenocarcinoma underwent MRI at baseline (Timepoint_0), in week 3 (Timepoint_1) and on completion of neoadjuvant treatment (Timepoint_2). Free-hand regions of interest (ROI) were drawn on each slice with visible tumour on axial T2-weighted and axial high-b-value (b=800) diffusion-weighted MRI. Gross tumour volume (GTV), maximum tumour diameter (MTD) and 9 histogram features were extracted for the tumour at each timepoint. Univariate logistic regression analysis was used to select features with OR >2 or < 0.5 for the primary outcome of pathological response (Mandard score 1 and 2). Variables which met the cut-off criteria were used to fit multivariate logistic regression models combining clinical variables (age, gender, T-stage and N-stage) with imaging features. Performance of the combined models was compared with that of baseline clinical model and the area under the curve (AUC), and two-tailed p values were reported. Result(s): 37 patients (6 female, 31 male, median 65 years, range 41-80) were included in this analysis. 13/37 patients achieved a pathological response. Diffusion-weighted MTD at Timepoint_1 (OR 0.33, 95%CI 0.14-0.81, p 0.02) and T2-weighted kurtosis at Timepoint_2 (OR 0.09, 95%CI 0.01-0.91, p 0.04) were associated with pathological response. These statistically improved the predictive performance of the clinical model (AUC 0.88 and 0.94, respectively versus 0.75 for baseline clinical model). Conclusion(s): Diffusion-weighted maximal tumour dimension at week-3 and T2-weighted kurtosis on neoadjuvant treatment completion have the potential to improve the predictive value of clinical models for response to treatment, but would require external validation in subsequent studies. Clinical trial identification: Multiparametric Magnetic Resonance Imaging for Oesophageal cancer assessment: A pilot study; IRAS 115752. Legal entity responsible for the study: The author. Funding(s): Department of Health via the NIHR Comprehensive Biomedical Research Centre award to Guy's & St Thomas' NHS Foundation Trust in partnership with King's College London/King's College Hospital NHS Foundation Trust; from King's College London/University College London Comprehensive Cancer Imaging Centre funded by Cancer Research UK and EPSRC in association with the Medical Research Council and Department of Health (C1519/A16463); and Wellcome EPSRC Centre for Medical Engineering at King's College London (WT 203148/Z/16/Z). Disclosure: All authors have declared no conflicts of interest. Copyright Ã‚Â© 2021 European Society for Medical Oncology",TRUE,Study funded by UK institutions and involves NHS Trusts.,TRUE,Study conducted in NHS hospital setting.,TRUE,"Conference abstract, part of grey literature",Grey literature,0.9,FALSE,No cost or impact outcomes measured,TRUE,Other,FALSE,['other'],0.9
